path,dataset,method,label
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id54_0003.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id49_id54_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id16_0010.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id19_id25_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id6_id2_0006.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id45_0002.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id26_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id61_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id17_id20_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00163.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Face2Face\c23\videos\830_828.mp4,faceforensics,Face2Face,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\036_035.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\real-vntkhpeycf-1.mp4,dfdc,dfdc,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\NeuralTextures\c23\videos\263_284.mp4,faceforensics,NeuralTextures,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-rbydjieaci-0.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id21_0001.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00044.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00023.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\210_241.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00253.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\real-nxvjxvykqp-1.mp4,dfdc,dfdc,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id45_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00231.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id49_id56_0006.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id43_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00276.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id0_id28_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00275.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00066.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\044_945.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id16_0011.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id59_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id16_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id42_id41_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id43_id48_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id35_id6_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Face2Face\c23\videos\263_284.mp4,faceforensics,Face2Face,fake
